,EMcrossnear,EMfracstdnear,EPstdnear,MMRstrengthnear,EMcrossfar,EMfracstdfar,EPstdfar,MMRstrengthfar,MEGNO,MEGNOstd
887,0.17845320454306543,0.0006258109155708265,2.0324946161074064e-05,0.0021580602397093408,0.23344585342439747,0.0004119665020850724,9.944925302770476e-05,0.000778498676684945,2.000460450541287,0.22237621208273062
888,0.1784532045430653,0.002652676735242749,0.0003515115293823462,0.0014378763964180055,0.23344585342439722,0.0013970790624476665,1.0836235818158672e-05,0.003134643192309298,2.00030723399707,0.2223280404302569
889,0.1784532045430667,0.0010056323787366152,8.287250303559146e-05,0.015192001322797136,0.23344585342439653,0.010494239376605553,0.001728348496861906,0.003838400414904279,2.0019462420316687,0.22270351594360246
890,0.1784532045430649,0.0019261348129611048,0.00032973003188659084,0.002097247403327334,0.23344585342439894,0.0008395874869934674,4.9176707218891175e-05,0.003046789096232419,1.9995311280127492,0.22207025099352623
891,0.17845320454306612,0.00045972866911728986,1.8996880741989836e-05,0.0008814419134872617,0.23344585342439814,0.0003402979918838609,1.3053589854310503e-05,0.0007160430300888585,1.9999313639004055,0.22219550018092782
892,0.1784532045430655,0.001470416664604095,0.0001349178596021369,0.006657209573694152,0.23344585342439853,0.0014149693818553608,0.0014502334361152173,0.005556650091771872,1.9996154982226804,0.2221155217153367
893,0.17845320454306515,,,,0.23344585342439658,,,,,
894,0.17845320454306543,0.0035075007224575324,0.001519403214379429,0.02566757344565177,0.2334458534243965,0.003960902807869385,0.00040385456846061234,0.010803317564862566,2.902865748981743,0.5286296069819765
895,0.1784532045430642,0.001150502955789652,0.00021868052414633507,0.0033034192570793575,0.23344585342439778,0.00108038280391932,0.00012731304937069446,0.005100382044466346,2.0005224893117814,0.22238241744369414
896,0.17845320454306451,0.0013572128262181256,0.00012987701098500834,0.0027281445630773045,0.23344585342439836,0.0013149794482762637,9.452038419381359e-05,0.0023282743787219184,1.9998320858192156,0.22199312012813446
897,0.178453204543064,0.0016559673930979103,0.0005311843131673116,0.0010528215791192298,0.2334458534243981,0.0005695804081569566,2.427437458635378e-05,0.004422383205136476,1.9995182644318348,0.22206444399757674
